epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.9073,1.97046,1.25557,1.976,0.75657,0.8247,0.79378,0.30403,2.08155,1.23591,2.33192,0.000475086,0.000475086,0.000475086
2,121.084,1.93169,1.26513,1.93147,0.76489,0.75921,0.75092,0.27866,2.1188,1.27482,2.37129,0.000942001,0.000942001,0.000942001
3,186.194,1.95258,1.34472,1.94653,0.75433,0.74201,0.7611,0.28428,2.12969,1.33029,2.36752,0.00139948,0.00139948,0.00139948
4,243.264,2.00923,1.31142,2.02018,0.7544,0.79999,0.77678,0.29186,2.05096,1.29726,2.32751,0.00138656,0.00138656,0.00138656
5,302.223,1.98675,1.31554,2.0021,0.77,0.74029,0.75601,0.2792,2.18538,1.27509,2.40175,0.00137241,0.00137241,0.00137241
6,366.545,1.98063,1.33999,1.99653,0.74277,0.74495,0.75201,0.27535,2.11486,1.3248,2.37267,0.00135826,0.00135826,0.00135826
7,424.349,1.96705,1.32,1.97432,0.72807,0.74201,0.75796,0.28725,2.06692,1.25012,2.33293,0.00134412,0.00134412,0.00134412
8,481.05,1.99732,1.3254,1.9869,0.75223,0.68627,0.72281,0.28449,2.13204,1.31944,2.37029,0.00132997,0.00132997,0.00132997
9,535.663,1.95911,1.29565,1.98442,0.79586,0.73956,0.78424,0.28631,2.1012,1.29669,2.35704,0.00131582,0.00131582,0.00131582
10,590.431,1.94676,1.33212,1.9546,0.76535,0.70522,0.76319,0.2762,2.16142,1.33433,2.39564,0.00130168,0.00130168,0.00130168
11,646.181,1.95558,1.31412,1.95104,0.76296,0.79875,0.77188,0.28659,2.06947,1.31723,2.32346,0.00128753,0.00128753,0.00128753
12,702.074,1.94685,1.25155,1.95535,0.71936,0.68019,0.72183,0.26213,2.14758,1.31925,2.40097,0.00127338,0.00127338,0.00127338
13,757.896,1.95116,1.26263,1.95661,0.75297,0.77139,0.78231,0.29267,2.09909,1.27089,2.35427,0.00125923,0.00125923,0.00125923
14,815.059,1.9397,1.24644,1.94485,0.69854,0.74583,0.74004,0.27388,2.13424,1.29866,2.38398,0.00124509,0.00124509,0.00124509
15,872.379,1.95047,1.25948,1.95457,0.756,0.79171,0.7751,0.2901,2.06393,1.26585,2.3263,0.00123094,0.00123094,0.00123094
16,928.014,1.93877,1.20386,1.95222,0.74842,0.709,0.708,0.2713,2.14307,1.2912,2.38779,0.00121679,0.00121679,0.00121679
17,992.245,1.94869,1.23703,1.96014,0.7569,0.78794,0.78276,0.28788,2.11571,1.25521,2.36389,0.00120265,0.00120265,0.00120265
18,1061.35,1.95229,1.17354,1.94771,0.73624,0.82064,0.78862,0.29012,2.18389,1.22409,2.40034,0.0011885,0.0011885,0.0011885
19,1129.3,1.93499,1.21871,1.9414,0.75408,0.77396,0.77983,0.2864,2.14222,1.19525,2.37597,0.00117435,0.00117435,0.00117435
20,1197.93,1.88757,1.1484,1.92833,0.72418,0.74693,0.74816,0.27497,2.18512,1.21347,2.41931,0.00116021,0.00116021,0.00116021
21,1267.49,1.89604,1.14951,1.92637,0.74368,0.81327,0.78281,0.28917,2.12969,1.22834,2.37844,0.00114606,0.00114606,0.00114606
22,1339.08,1.89881,1.15776,1.94095,0.77333,0.7887,0.8063,0.29682,2.16794,1.20605,2.40218,0.00113191,0.00113191,0.00113191
23,1408.26,1.90118,1.16592,1.922,0.77015,0.7543,0.76468,0.27597,2.20635,1.26955,2.446,0.00111776,0.00111776,0.00111776
24,1478.34,1.88518,1.14426,1.92289,0.71494,0.73956,0.7559,0.27868,2.18403,1.27323,2.41275,0.00110362,0.00110362,0.00110362
25,1541.16,1.90851,1.14756,1.92294,0.75457,0.75539,0.77175,0.27118,2.17579,1.25327,2.39553,0.00108947,0.00108947,0.00108947
26,1598.22,1.8655,1.11372,1.8997,0.7559,0.75921,0.75378,0.27372,2.20594,1.21774,2.45162,0.00107532,0.00107532,0.00107532
27,1655.16,1.8928,1.11701,1.93224,0.76079,0.77363,0.78137,0.27304,2.21355,1.25981,2.45237,0.00106118,0.00106118,0.00106118
28,1716.83,1.86481,1.12209,1.91507,0.7408,0.8059,0.78448,0.28653,2.21817,1.22675,2.46255,0.00104703,0.00104703,0.00104703
29,1772.96,1.92149,1.10775,1.93511,0.74619,0.76568,0.76468,0.28814,2.17473,1.26443,2.39895,0.00103288,0.00103288,0.00103288
30,1832.2,1.85016,1.12574,1.88714,0.74175,0.77641,0.76194,0.28066,2.17235,1.221,2.421,0.00101873,0.00101873,0.00101873
31,1889.24,1.87293,1.09257,1.91853,0.74952,0.79607,0.77062,0.2815,2.18503,1.23132,2.43766,0.00100459,0.00100459,0.00100459
32,1950.63,1.86642,1.09092,1.89068,0.75576,0.75267,0.77079,0.27686,2.19074,1.24469,2.43631,0.00099044,0.00099044,0.00099044
33,2013.38,1.83941,1.10514,1.88189,0.74042,0.77641,0.77236,0.27714,2.23025,1.21555,2.45913,0.000976293,0.000976293,0.000976293
